quarter,index_level,max_4,ML,mean_4,std_4,CCt
1,3235.98,,,,,
2,3872.89,,,,,
3,3829.1,,,,,
4,3840.54,,,,,
5,3924.9,3872.89,1.0134292479259674,,,
6,4916.12,3924.9,1.2525465616958393,,,
7,5322.71,4916.12,1.0827054669129315,,,
8,7253.1,5322.71,1.3626705193407118,,,
9,8906.02,7253.1,1.2278915222456606,1.1778379489688624,0.1589809904848041,
10,6123.73,8906.02,0.6875944585797021,1.2314535175487857,0.11518317071684567,1
11,7617.69,8906.02,0.8553416677707887,1.0902154917697515,0.29174562450684616,0
12,6155.81,8906.02,0.6911965165135493,1.0333745419842157,0.31492447067676804,0
13,6123.49,8906.02,0.6875675105153592,0.8655060412774251,0.25394414936279375,0
14,6328.09,7617.69,0.8307098346086544,0.7304250383448498,0.08329519291227715,0
15,6263.63,7617.69,0.8222479518069127,0.7662038823520879,0.08928670407094479,0
16,6401.65,6328.09,1.011624360589056,0.757930453361119,0.0792421205214118,0
17,6138.16,6401.65,0.9588402989854179,0.8380374143799956,0.1330120551139035,0
18,6603.26,6401.65,1.0314934430967018,0.9058556114975103,0.09421877720806696,0
19,6250.82,6603.26,0.9466263633417432,0.956051513619522,0.09432390386516878,0
20,6114.74,6603.26,0.9260183606279322,0.9871461165032297,0.04086130814977588,0
21,5217.76,6603.26,0.790179396237616,0.9657446165129489,0.0458775936909712,1
22,4800.73,6603.26,0.7270242274270586,0.9235793908259984,0.09996351459324346,1
23,4168.04,6250.82,0.6667989159822232,0.8474620869085876,0.10613077861484328,1
24,5547.66,6114.74,0.9072601615113643,0.7775052250687076,0.11108705901664064,0
25,4950.48,5547.66,0.8923546143779539,0.7728156752895655,0.10281573911935997,0
26,4940.9,5547.66,0.8906277601727575,0.79835947982465,0.1198489938557268,0
27,5267.66,5547.66,0.9495282695767224,0.8392603630110748,0.11521650970635063,0
28,5041.45,5547.66,0.9087525190801167,0.9099427014096995,0.027426392324638442,0
29,5864.42,5267.66,1.113287493877737,0.9103157908018875,0.027387860563445485,0
30,6192.5,5864.42,1.0559441513397745,0.9655490106768334,0.10152562697613329,0
31,6367.11,6192.5,1.0281970125151392,1.0068781084685876,0.09424802240179499,0
32,6254.07,6367.11,0.9822462624330348,1.026545294203192,0.08615174219537147,0
33,6808.18,6367.11,1.0692731867362117,1.0449187300414213,0.05478230193674207,0
34,7103.61,6808.18,1.043393388541431,1.03391515325604,0.038461403599671644,0
35,7359.4,7103.61,1.0360084520405821,1.030777462556454,0.03652861196567922,0
36,6324.96,7359.4,0.8594396282305623,1.032730322437815,0.0365534693206172,1
37,6454.08,7359.4,0.8769845367828899,1.002028663887197,0.0961234022690802,0
38,5714.06,7359.4,0.7764301437617198,0.9539565013988663,0.09931364799834717,1
39,5864.47,7359.4,0.7968679511916733,0.8872156902039385,0.10845722566147296,0
