m,amount
1,10.077929815731313
2,11.343842332271578
3,11.949884265965185
4,11.159441567081252
5,10.684691625843577
6,8.609504333143628
7,7.810089064227087
8,8.095220581119246
9,8.108048321280544
10,8.07775135639301
11,7.8844974412053626
12,8.491034003930439
13,8.36463391130713
14,8.393711700359408
15,8.323523487278683
16,8.335323532501054
17,8.278633926214741
18,8.024141995749412
19,7.74015992686501
20,7.9852120255774555
21,7.85742275817959
22,7.668649889121467
23,7.749292291791366
24,8.271637861930145
25,8.095214481233619
26,8.266388061992076
27,8.361612489594743
28,8.226383566600648
29,8.254234950579704
30,8.194983164242794
31,7.986103633968636
32,8.21500913838562
33,8.10571202305292
34,8.059876738502506
35,7.801211271350424
36,8.207336400483216
37,8.019704895421995
38,8.060328467479124
39,8.114916993325464
40,8.254853926636251
41,8.26575046919173
42,8.09531817422925
43,8.14954685265876
44,8.409129024184097
45,8.71481870957423
46,8.865382231704672
47,8.87893487770964
48,9.832225143309905
49,9.873756945536991
50,9.91420046383803
51,9.79161756281523
52,9.778476331374755
53,9.733129150989638
54,9.879275287060606
55,9.63705150961858
56,9.804371941253308
57,9.948394472376739
58,9.84051473837277
59,10.36714861013201
60,10.624806651728893
61,10.235083275411062
62,9.99581009196606
63,10.133864479795207
64,10.826800173143532
65,10.652549693612716
66,10.570211185802206
67,10.086836914290892
68,10.363889293340586
69,10.349786175098194
70,10.259518689275474
71,9.938649076779562
72,10.309760334388024
73,10.039885146179339
74,9.928027958421696
75,10.055941651125854
76,10.276689421374066
77,10.19958672659015
78,10.42436548215368
79,9.910578353282764
80,10.05463658907906
81,10.156740434135157
82,10.069362942811916
83,9.813134416265346
84,10.403398830936238
85,10.32324043585702
86,10.25718767608105
87,10.528548058031946
88,10.328755941535029
89,10.234516070398996
90,10.162973447701162
91,9.958465674599752
92,10.138870298403837
93,9.949397859609254
