quarter,turnoverRatio
1,1.1667307692307696
2,0.7187499999999997
3,0.3263934426229509
4,0.2227118644067798
5,0.12885245901639342
6,0.1375
7,0.24383333333333335
8,0.16830508474576275
9,0.16883333333333334
10,0.19907692307692307
11,0.22083333333333333
12,0.334406779661017
13,0.16266666666666668
14,0.14562500000000003
15,0.157
16,0.24327586206896554
17,0.23316666666666677
18,0.17
19,0.16491803278688527
20,0.26293103448275873
21,0.16508474576271187
22,0.3034848484848484
23,0.22950000000000012
24,0.29396551724137926
25,0.21383333333333343
26,0.30953125
27,0.22409836065573774
28,0.27310344827586214
29,0.3033898305084746
30,0.24676923076923082
31,0.25766666666666665
