month,short_balance_ratio
1,0.006269131344338329
2,0.005209049581187514
3,0.00407758246045475
4,0.002590175398530585
5,0.0035002029885470615
6,0.005364991711879925
7,0.0034493045198804796
8,0.0029867578466004517
9,0.003884732547058072
10,0.0047529002392806005
11,0.004400053720070107
12,0.004152686327641928
13,0.00446109478620914
14,0.005577493966171715
15,0.004311434375716671
16,0.005279760031413503
17,0.007489235458562714
18,0.009243845619064618
19,0.00804392755678078
20,0.006984855640697612
21,0.008897535200310317
22,0.009790432634221784
23,0.008953727121928594
24,0.009016238547077001
25,0.009433861698881208
26,0.012370774056127153
27,0.011799725527972177
28,0.010107901330026921
29,0.009375537512545903
30,0.00849515778653361
31,0.009828743725244879
32,0.010033998521540848
33,0.012485150366968836
34,0.010027653138050853
35,0.011954030642555152
36,0.011125313887702526
37,0.011780380701572453
38,0.014316952955267305
39,0.018357365716874283
40,0.020267945232915294
41,0.02620646705610884
42,0.029360308267214783
43,0.026973548129348948
44,0.024061194885410888
45,0.029132246656492354
46,0.023835486879484124
47,0.014226004243213405
48,0.010162397059780878
49,0.011741900754317885
50,0.015457825439138909
51,0.01834024847331027
52,0.025161576088058246
53,0.027452754764159478
54,0.024073521561223374
55,0.03265300778620908
56,0.034012150549158834
57,0.027251999968334554
58,0.018917588589430642
59,0.012325130162587666
60,0.019639323439226163
61,0.03285389259204878
62,0.03999546955110597
63,0.0394014352609881
64,0.034672716810135625
65,0.06102106541408889
66,0.10641725931149061
67,0.13258204437408397
68,0.13886490969144336
69,0.1497357460828462
70,0.13373009940308853
71,0.14968952480463987
72,0.17785692964481478
73,0.20016497377814368
74,0.17428361899220754
75,0.1523351786622127
76,0.13142325222296627
77,0.12308476486878481
78,0.12328147618013803
79,0.15808001503186078
80,0.12268789175631739
81,0.10566298885703264
82,0.10285004705497368
83,0.10390038751874354
84,0.09235120819319073
85,0.0971696148756422
86,0.0958152968898029
87,0.07520276966340633
88,0.09740256717615765
89,0.10614141376007391
90,0.14368347856943706
91,0.12992322740094048
92,0.11505324463614067
93,0.1247458379955773
