quarter,index_level,max_4,ML,mean_4,std_4,mean-1.5*std,CCt
1,1552.38,,,,,,
2,1643.06,,,,,,
3,1574.78,,,,,,
4,1465.78,,,,,,
5,1482.41,1643.06,0.9022251165508259,,,,
6,1619.7,1643.06,0.985782625101944,,,,
7,2581.57,1619.7,1.593856887077854,,,,
8,2754.66,2581.57,1.0670483465488054,,,,
9,2870.03,2754.66,1.0418817567322285,1.1372282438198573,0.3117676384102378,0.6695767862045006,
10,2146.12,2870.03,0.7477691870816681,1.172142403865208,0.283187611291365,0.7473609869281604,0
11,2420.8,2870.03,0.843475503740379,1.112639044360139,0.35203490848668517,0.5845866816301113,0
12,2156.54,2870.03,0.7513998111517998,0.9250436985257702,0.15480748766763455,0.6928324670243183,0
13,2122.63,2870.03,0.739584603645258,0.8461315646765188,0.13780959666816123,0.639417169674277,0
14,2177.35,2420.8,0.8994340713813614,0.7705572764047762,0.04886266408875599,0.6972632802716423,0
15,2286.9,2420.8,0.9446877065432915,0.8084734974796997,0.07638073887130793,0.6939023891727377,0
16,2359.75,2286.9,1.031855350037168,0.8337765481804277,0.10371474440514489,0.6782044315727104,0
17,2549.97,2359.75,1.080610234134972,0.9038904329017698,0.12255026484361581,0.7200650356363462,0
18,2672.33,2549.97,1.0479848782534698,0.9891468405241983,0.08208646802250032,0.8660171384904478,0
19,2860.44,2672.33,1.0703917555092373,1.0262845422422253,0.05805532670993979,0.9392015521773156,0
20,2722.15,2860.44,0.9516542909482457,1.0577105544837118,0.02197186506033108,1.024752756893215,1
21,2479.91,2860.44,0.8669680189061822,1.037660289711481,0.058934074838115066,0.9492591774543084,1
22,2606.67,2860.44,0.9112828795569913,0.9842497359042837,0.09363062192430437,0.8438038030178271,0
23,2293.1,2860.44,0.8016598844932947,0.9500742362301641,0.08735028091698481,0.8190488148546868,1
24,2838.51,2722.15,1.0427456238634902,0.8828912684761785,0.06425606186682895,0.7865071756759351,0
25,2930.6,2838.51,1.0324430775301126,0.9056641017049897,0.10187766913252908,0.752847598006196,0
26,2897.7,2930.6,0.9887736299733842,0.9470328663609722,0.11382325704687635,0.7762979807906576,0
27,3063.22,2930.6,1.0452535316999931,0.9664055539650704,0.11229459355450791,0.7979636636333085,0
28,2689.38,3063.22,0.8779584881268732,1.027303965766745,0.026278184666083254,0.9878866887676202,1
29,2942.07,3063.22,0.9604501145853058,0.9861071818325907,0.07604506521063557,0.8720395840166374,0
30,3232.42,3063.22,1.0552359934970392,0.9681089410963891,0.06967562706311885,0.8635955005017109,0
31,3640.64,3232.42,1.1262892817146286,0.9847245319773028,0.08291333120045989,0.860354535176613,0
32,3539.37,3640.64,0.9721834622483959,1.0049834694809616,0.10856485287287207,0.8421361901716535,0
33,3498.65,3640.64,0.9609986156280215,1.0285397130113425,0.0776313724970442,0.9120926542657762,0
34,3196.99,3640.64,0.8781395578799331,1.0286768382720213,0.07747133060235972,0.9124698423684817,1
35,3274.32,3640.64,0.8993803287334096,0.9844027293677449,0.1034741809670557,0.8291914579171613,0
36,2898.83,3539.37,0.8190242896334659,0.92767549112244,0.045992082715003275,0.8586873670499351,1
37,3058.4,3498.65,0.8741657496462921,0.8893856979687075,0.05861031214617829,0.80147022974944,0
38,2610.12,3274.32,0.7971487209558015,0.8676774814732752,0.03427222523280542,0.816269143624067,1
39,2635.25,3274.32,0.8048235969605902,0.8474297722422424,0.047429696633364694,0.7762852272921953,0
