month,amount
1,10.237230353348366
2,10.909667798919003
3,11.574666827705224
4,11.197666898870983
5,10.553626757308773
6,8.17457893112584
7,6.62602877023563
8,7.031396676433258
9,7.103223373445979
10,6.93619695261344
11,6.599503084785646
12,7.2076153971066175
13,6.885397189271465
14,6.723327505670602
15,6.603266088213975
16,6.657959696670501
17,6.708328254285243
18,6.59857714618547
19,6.390022522468178
20,6.824938727759205
21,6.870831924877539
22,6.665530839855135
23,6.792119935383212
24,7.274943761479432
25,6.995537192365671
26,7.171672183633639
27,7.503443973780111
28,7.602236569221879
29,7.5954626907917175
30,7.43540262095793
31,7.239408781272148
32,7.753683630591574
33,7.726045014048854
34,7.994409689688858
35,7.85878361294441
36,8.033927609947277
37,7.834823722108157
38,7.860447368744568
39,7.812734273709978
40,7.962293763946991
41,8.040704580054697
42,7.869099679202018
43,8.132286307422007
44,8.148373367504817
45,8.1786387885907
46,8.369298568260689
47,8.386282362114295
48,9.06199928374389
49,9.171431130310621
50,9.130364912041466
51,8.920665648847407
52,8.931008671257331
53,8.843680025140694
54,8.731756033517211
55,8.630848609054704
56,8.728192903896687
57,8.70860662488841
58,8.507409486680167
59,8.911612181849422
60,9.245617743444287
61,8.829100450158565
62,8.54542295553794
63,8.75356565355789
64,9.750394063685508
65,9.402325915000233
66,9.2801024142421
67,8.911811687130907
68,9.214873083699676
69,9.358277501908306
70,9.476396275489902
71,9.133831828447569
72,9.560616185080287
73,9.305407795044749
74,9.261195070194495
75,9.444314658553045
76,9.542414379122189
77,9.530390646123193
78,9.595325183222007
79,9.181248270812747
80,9.332118970285828
81,9.4338102700335
82,9.303182964334702
83,8.970079908601752
84,9.496037976673694
85,9.322626549775308
86,9.136343932064047
87,9.428195564538383
88,9.276204888593044
89,9.21990944203988
90,9.170302444994624
91,9.089955329033053
92,9.454781119436438
93,9.375656485703958
