month,volume
1,14.861329128926918
2,15.552497001345037
3,16.239422975971824
4,16.0205879984785
5,15.53662078467997
6,13.252359528419598
7,11.616636621182272
8,11.96021686312503
9,12.041292337512878
10,12.013785597768138
11,11.737116467515811
12,12.282885527543133
13,11.930622128342288
14,11.80188671892039
15,11.676234082582253
16,11.698101277830405
17,11.724158365258603
18,11.62347350214176
19,11.403344946501493
20,11.794353018634117
21,11.83143737621445
22,11.632741987246105
23,11.73994947754653
24,12.231779377873579
25,11.95260518685613
26,12.121462020790945
27,12.403225341901974
28,12.4565978735856
29,12.43006383749552
30,12.253328299607654
31,12.037316658907649
32,12.501812169359685
33,12.479829460063142
34,12.678766403133785
35,12.579589465514564
36,12.800495574971002
37,12.652487739967292
38,12.681275236722144
39,12.670916108991158
40,12.87601005105253
41,12.950770462362406
42,12.770388797995452
43,13.042757241086315
44,13.05687293666836
45,13.116737582252762
46,13.311744953508505
47,13.22619532539763
48,13.849562165047747
49,13.893969550684593
50,13.933051786609921
51,13.694835594713355
52,13.671978467503903
53,13.615875992200973
54,13.460702441846221
55,13.351576471719463
56,13.446923517310283
57,13.423332780982886
58,13.198598229002723
59,13.669152106383486
60,14.048237640195513
61,13.631258338640249
62,13.325532766711122
63,13.514062163015664
64,14.374729124160444
65,14.020926703220432
66,13.90498190674071
67,13.517340343398105
68,13.801649941901086
69,13.911227018861622
70,13.951386699515261
71,13.591365255064447
72,14.096294140455514
73,13.867989149609405
74,13.816132364602451
75,13.996699807273332
76,14.149871281195
77,14.189478807011433
78,14.246708387968045
79,13.804588124772694
80,13.974918252586267
81,14.048448388352245
82,13.94833545107678
83,13.642238728582123
84,14.24219819985679
85,14.090444719983772
86,13.939866610602614
87,14.179176805685161
88,14.019142591605785
89,14.01577926354841
90,13.987566267468317
91,13.992581688696074
92,14.345852885801353
93,14.205216811694704
