month,inventory
1,13.145782984945539
2,13.829907423954765
3,14.364143974104005
4,13.689626421823801
5,13.334140171206585
6,12.880574578771268
7,12.572221569261158
8,12.823924996052984
9,12.826624939414227
10,12.695275165938533
11,12.578404871977392
12,12.993711489182836
13,12.850743612633003
14,12.848039683195434
15,12.744059052957006
16,12.799333190267534
17,12.946155891527924
18,12.973369047393083
19,12.846504468418125
20,13.20869519020918
21,13.20540957009764
22,13.088845889897597
23,13.161591782835718
24,13.59818629171875
25,13.232357939265269
26,13.274402687000197
27,13.312113937359307
28,13.250571878544296
29,13.222899876180236
30,13.135820423824242
31,12.91968889792946
32,13.17178952976658
33,13.025702686069698
34,13.126504789904878
35,12.7785905562494
36,13.159422139840805
37,13.033746348408803
38,13.213258370053424
39,13.065481866399722
40,13.183193154645538
41,13.186640614410173
42,13.053711876215335
43,13.113603118134979
44,13.285604046385492
45,13.323423269846781
46,13.487220357010159
47,13.243708062849265
48,13.875658831050547
49,13.995059942503595
50,14.002530227987616
51,13.918360424578722
52,14.106308271760929
53,14.029986251704791
54,13.962761776869694
55,13.883129018714685
56,14.038466891754377
57,14.067796514159067
58,13.740396849458024
59,14.073173017017355
60,14.260937770993579
61,14.113129099787015
62,13.909608184741401
63,14.026615535563119
64,14.433281500923306
65,14.28177846809227
66,14.301958854432261
67,13.96506181952235
68,14.193359835039244
69,14.364508460853228
70,14.21649430642974
71,13.889173573996844
72,14.401606349701293
73,14.314463580498662
74,14.196379648816588
75,14.38826141620678
76,14.547845758835404
77,14.584881470877981
78,14.590902020952596
79,14.288513434966468
80,14.619983079189996
81,14.719139061112031
82,14.608569134660264
83,14.353568201441716
84,14.673387123164941
85,14.49828007637804
86,14.558693792916673
87,14.65496128137755
88,14.540111830946746
89,14.686487137334451
90,14.75074747205883
91,14.557695967161212
92,14.822062746260142
93,14.833190771366487
